id_Video_action,Video_input_frames,Video_input_lenght,"Video_input_Resolution [width, height]",Hmmr-alphapose_output_frames,Hmmr-openpose_output_frames,error2d_alpha,error3d_alpha,error2d_open,error3d_open,PCK,AUC
19_freekick,62,00:00:02,"[636, 720]",57,57,0,0,0,0,95.06578947368422,0.8936561604488654
18_freekick1,49,00:00:01,"[630, 674]",,44,,,0,0,,
18_freekick,62,00:00:02,"[722, 674]",57,57,0,0,0,0,95.83333333333334,0.8971279354304997
13_freekick,107,00:00:03,"[762, 578]",,102,,,0,0,,
11_freekick,71,00:00:03,"[1280, 720]",66,66,0,0,0,0,88.73106060606061,0.8792226928126355
21_freekick,75,00:00:03,"[754, 584]",70,70,0,0,0,0,76.69642857142858,0.8075149299398751
19_freekick1,68,00:00:02,"[772, 720]",,63,,,0,0,,
19_freekick2,143,00:00:04,"[856, 720]",,138,,,0,0,,
23_freekick,62,00:00:02,"[846, 720]",,57,,,0,0,,
25_freekick,51,00:00:02,"[748, 420]",46,46,0,0,0,0,91.71195652173914,0.8851249602270985
25_freekick1,48,00:00:01,"[748, 420]",43,43,0,0,0,0,94.91279069767442,0.8971675737276502
17_penalty,28,00:00:00,"[1280, 720]",23,23,0,0,0,0,69.02173913043478,0.7970844036224436
16_penalty1,69,00:00:02,"[908, 720]",64,64,0,0,0,0,72.4609375,0.7878743215123418
14_penalty1,80,00:00:02,"[304, 264]",75,75,0,0,0,0,75.16666666666667,0.8257612736926209
14_penalty,87,00:00:03,"[420, 314]",,82,,,0,0,,
12_penalty,121,00:00:04,"[592, 446]",116,116,0,0,0,0,95.6896551724138,0.8883978460781317
17_penalty1,82,00:00:02,"[1280, 720]",82,,0,0,,,,
11_freekick1,62,00:00:02,"[1280, 720]",57,,0,0,,,,
13_freekick1,96,00:00:03,"[718, 540]",91,,0,0,,,,
13_freekick2,110,00:00:03,"[586, 570]",105,,0,0,,,,
18_freekick2,74,00:00:02,"[718, 674]",69,,0,0,,,,
21_freekick1,75,00:00:03,"[954, 614]",70,,0,0,,,,
22_freekick1,84,00:00:02,"[832, 720]",79,,0,0,,,,
9_penalty,59,00:00:02,"[436, 682]",54,,0,0,,,,
5_penalty7,56,00:00:01,"[606, 404]",,51,,,0,0,,
5_penalty6,77,00:00:02,"[606, 404]",72,,0,0,,,,
5_penalty5,51,00:00:01,"[606, 404]",46,46,0,0,0,0,64.67391304347827,0.7447307639811811
5_penalty4,56,00:00:01,"[606, 404]",,51,,,0,0,,
5_penalty2,50,00:00:01,"[606, 404]",,45,,,0,0,,
5_penalty,53,00:00:01,"[524, 266]",43,,0,0,,,,
4_penalty5,68,00:00:02,"[562, 266]",63,,0,0,,,,
9_penalty1,47,00:00:02,"[560, 682]",42,,0,0,,,,
10_penalty1,66,00:00:02,"[522, 358]",61,61,0,0,0,0,74.2827868852459,0.8086855784657243
6_freekick,36,00:00:01,"[854, 480]",31,31,0,0,0,0,97.37903225806451,0.915657046743437
1_freekick,68,00:00:02,"[1280, 720]",63,63,0,0,0,0,64.68253968253968,0.7383197567782753
18_freekick3,67,00:00:02,"[718, 674]",62,62,0,0,0,0,92.54032258064517,0.8882157423687316
20_freekick,81,00:00:03,"[1280, 720]",76,,0,0,,,,
22_freekick,108,00:00:03,"[832, 720]",103,,0,0,,,,
