Time,ID,Link,name (.mp4),,type,Download HD 720p,Site Download ,https://yt1s.com/pt1
3.18-3.20,0,https://www.youtube.com/watch?v=od-dwl1QCbQ,HOW TO ALWAYS SCORE PENALTIES Penalty kick tutorial,M,Penalty,ok,Site video trim,https://online-video-cutter.com/pt/
4.02-4.03,,,,,,,,
6.47-6.48,,,,,,,,
,1,https://www.youtube.com/watch?v=Amg35qSxw4Y,5 tips to improve your freekick accuracy,M,Penalty,ok,,
3.22 - 3.24,,,,,,,,
,2,https://www.youtube.com/watch?v=UluqUefEv1k,Dramatic Matches Decided by Penalties in Football - SPECIAL for 600K SUBS,M,Penalty,ok,,
5.02 -5.04,,,,,,,,
5.30 - 5.33,,,,,,,,
5.38 -5.40,,,,,,,,
,3,https://www.youtube.com/watch?v=qQC2fOxGWFA,Legendary Free Kicks,M,Freekick,ok,,
1.08 - 1.09,,,,,,,,
,4,https://www.youtube.com/watch?v=17uF2gHsixY,Penalty Shootout - 2018 Big 10 Women's Championship,F,Penalty,ok,,
3.59-4.01,,,,,,,,
4.40-4.42,,,,,,,,
6.07-6.09,,,,,,,,
6.42-6.45(6.55-6.57),,,,,,,,
7.22-7.24,,,,,,,,
8.14-8.16,,,,,,,,
10.21-10.24,,,,,,,,
10.54-10.56,,,,,,,,
11.36-11.38,,,,,,,,
,5,https://www.youtube.com/watch?v=mP_1XRcza8E,Penalty Shootout I Houston Dash vs. Utah Royals FC I 2020 NWSL Challenge Cup Quarterfinals,F,Penalty,ok,,
3.00-3.02,,,,,,,,
3.43-3.45,,,,,,,,
4.21-4.24,,,,,,,,
5.52-5.54,,,,,,,,
6.38-6.40,,,,,,,,
7.12-7.14,,,,,,,,
,6,https://www.youtube.com/watch?v=_iHtZRI3HEQ,yt1s.com - Amazing Free Kicks Womens Football_480p,F,Freekick,ok,,
0.54-0.55,,,,,,,,
4.29-4.31,,,,,,,,
5.32-5.34,,,,,,,,
,7,https://www.youtube.com/watch?v=TGsQQR3hJpo,Legendary Free Kicks Women's Football HD,F,Freekick,ok,,
0.40-0.42,,,,,,,,
0.46-0.48,,,,,,,,
2.31-2.33,,,,,,,,
,8,https://www.youtube.com/watch?v=M6K4e5_kHbg,Lionel Messi ● All 51 Free Kick Goals ►HD 1080i & English Commentary◄ HD ,M,Freekick,ok,,
2.04-2.06,,,,,,,,
5.52-5.54,,,,,,,,
11.31-11.32,,,,,,,,
,9,https://www.youtube.com/watch?v=KZTeJd0haTk,10 UNUSUAL PENALTY KICKS IN FOOTBALL,M,Penalty,ok,,
1.05-1.07,,,,,,,,
1.24-1.26,,,,,,,,
,10,https://www.youtube.com/watch?v=s3toZmw0U9c,Junior Football - Best Penalty kicks of Kids Football,Kids,Penalty,ok,,
0.12-0.15,,,,,,,,
0.25-0.28,,,,,,,,
1.23-1.26,,,,,,,,
2.16-2.18,,,,,,,,
,11,https://www.youtube.com/watch?v=z8SOyW5Z6V0,KIDDO: Learn how to kick (soccer),kids,Freekick,ok,,
0.16-0.19,,,,,,,,
1.54-1.57,,,,,,,,
,12,https://www.youtube.com/watch?v=7qoHvp0XFX4,#6. How to teach: Shooting/striking › Key teaching points | Soccer skills in PE (grade K-6),M,Penalty,ok,,
1.20-1.23,,,,,,,,
,13,https://www.youtube.com/watch?v=zCrPBvpNGXo,Famous Player Freekick Training HD,M,Freekick,ok,,
0.07-0.10,,,,,,,,
0.15-0.17,,,,,,,,
1.58-2.01,,,,,,,,
2.14-2.18,,,,,,,,
,14,https://www.youtube.com/watch?v=B7n8sqPsGaI,How To Shoot A Soccer Ball Tutorial For Kids,M,Penalty,ok,,
1.00-1.03,,,,,,,,
1.04-1.06,,,,,,,,
,15,https://www.youtube.com/watch?v=7V4lmoWoX7c,UNSTOPPABLE FREEKICKS | F2 & KEVIN DE BRUYNE,M,Free kick,ok,,
2.21-2.25,,,,,,,,
6.17-6.19,,,,,,,,
,16,https://www.youtube.com/watch?v=bSvwacqGsjo,How to Shoot Penalty Kicks,M,Penalty,ok,,
0.42 - 0.45,,,,,,,,
0.53 - 0.56,,,,,,,,
,17,https://www.youtube.com/watch?v=0N4sehBUzXQ,How To Score a Penalty Kick | 5 Tips For Scoring Perfect Penalties,M,Penalty,ok,,
3.59-4.02,,,,,,,,
4.02-4.03,,,,,,,,
,18,https://www.youtube.com/watch?v=6xgWkepA3Lg,ULTIMATE FREE KICK CHALLENGE vs PRO GOALKEEPER,M,Free kick,ok,,
2.29-2.31,,,,,,,,
2.49-2.51,,,,,,,,
3.56-3.59,,,,,,,,
4.28-4.31,,,,,,,,
0.01-0.03,19,https://www.youtube.com/watch?v=Pi-GzQZ6Ohg,How to shoot a free kick in soccer | How to take a freekick | Free kick technique tutorial,M,Free kick,ok,,
0.04-0.08,,,,,,,,
3.39-3.43,,,,,,,,
,20,https://www.youtube.com/watch?v=hDvDGjbVc7Q,HOW TO ALWAYS SCORE FROM FREEKICKS!,M,Free kick,ok,,
4.42-4.45,,,,,,,,
,21,https://www.youtube.com/watch?v=OyRxOIRJRME,How to take a free kick from centre-right | Soccer free kick technique,M,Free kick,ok,,
2.17-2.20,,,,,,,,
2.27-2.30,,,,,,,,
,22,https://www.youtube.com/watch?v=YDnXu1ugoSE,How To: Improve Your Free Kicks In Soccer,M,Free kick,ok,,
1.57-2.01,,,,,,,,
2.35-2.38,,,,,,,,
2.58-3.00,,,,,,,,
,23,https://www.youtube.com/watch?v=pkaaU1F_37o,IMPROVE Taking FREE KICKS In Soccer | Finishing Drill,M,Free kick,ok,,
0.51-0.53,,,,,,,,
,24,https://www.youtube.com/watch?v=JQYBM0p-j6I,How to shoot a knuckleball | Learn CR7 free kick,M,Free kick,ok,,
2.14-2.19,,,,,,,,
,25,https://www.youtube.com/watch?v=XJRh2nAZTGE,Learn Messi Free kick curve curl technique - Day 39 of 90,M,Free kick,ok,,
2.28-2.31,,,,,,,,
2.31-2.34,,,,,,,,
